region,config,seed,eval_source,eval_label,lead_hours,present,target,model,train_loss,head,variable,checkpoint_epoch,best_val_loss,nll,crps,mae,rmse,bias,correlation,mean_pred_std,within_1sigma,within_2sigma,pit_chi2_stat,pit_chi2_pvalue,p50,p90,p95,p99,n_predictions,n_test_stations,seasonal_mae_DJF,seasonal_mae_MAM,seasonal_mae_JJA,seasonal_mae_SON
europe,t2m_snap_bilinear_baseline_wd_crps,123,eval_era5,ERA5,0,True,t2m,baseline,crps,gaussian,t2m,6,0.8290163905244984,1.803275465965271,0.8581345677375793,1.1889350414276123,1.7059072256088257,0.0868111103773117,0.9829007818806856,1.3918788433074951,68.00279151967118,93.09726471237975,7053.092324325048,0.0,0.8285069465637207,2.664679527282715,3.539076805114746,5.712314128875732,1195048,898,1.2144166458502146,1.1783752258462405,1.2286408303041902,1.131357053647674
europe,t2m_snap_bilinear_baseline_wd_crps,123,eval_aurora_lead6h,Aurora +6h,6,True,t2m,baseline,crps,gaussian,t2m,6,0.8290163905244984,1.8562865257263184,0.8895637392997742,1.2338563203811646,1.748866081237793,0.05679846554994583,0.981968950118681,1.3926323652267456,65.8184441127051,92.20742597786867,11682.068080947378,0.0,0.8757838010787964,2.7421889305114746,3.6074650287628174,5.7468671798706055,1195048,898,1.252311393802774,1.223145941251356,1.2797970286980171,1.1782574377220676
europe,t2m_snap_bilinear_baseline_wd_crps,123,eval_aurora_lead24h,Aurora +24h,24,True,t2m,baseline,crps,gaussian,t2m,6,0.8290163905244984,1.939157247543335,0.9321833848953247,1.2883349657058716,1.8124076128005981,0.1886986792087555,0.9808250437674377,1.3771214485168457,63.04692363821369,90.49351992555947,40571.26578681358,0.0,0.9229793548583984,2.8589344024658203,3.74605655670166,5.882904529571533,1195048,898,1.318961000406725,1.2856451546347043,1.3356516284444704,1.2092441532326499
europe,t2m_snap_bilinear_baseline_wd_crps,123,eval_aurora_lead72h,Aurora +72h,72,True,t2m,baseline,crps,gaussian,t2m,6,0.8290163905244984,2.3308751583099365,1.1178910732269287,1.5227346420288086,2.069925546646118,0.03460818901658058,0.9747695322592314,1.3724077939987183,53.90628660940816,83.7731204102262,174729.8810558237,0.0,1.1464858055114746,3.305349111557007,4.223501682281494,6.412300109863281,1195048,898,1.5749157632777169,1.498192923601939,1.5798490016098419,1.4318331691372175
europe,t2m_snap_bilinear_baseline_wd_crps,42,eval_era5,ERA5,0,True,t2m,baseline,crps,gaussian,t2m,7,0.8278419881650846,1.839085340499878,0.8586474061012268,1.1799410581588745,1.7116962671279907,0.1821444034576416,0.9829352614437867,1.2396912574768066,64.13616858904412,90.55401958749773,37028.799810551536,0.0,0.8082437515258789,2.6654534339904785,3.5682930946350098,5.8024516105651855,1195048,898,1.2095007613316022,1.1762231012495787,1.2144527368760625,1.1158281993130783
europe,t2m_snap_bilinear_baseline_wd_crps,42,eval_aurora_lead6h,Aurora +6h,6,True,t2m,baseline,crps,gaussian,t2m,7,0.8278419881650846,1.8986260890960693,0.8892695903778076,1.2218027114868164,1.7514926195144653,0.15169179439544678,0.9820320644949402,1.2395716905593872,61.92403987120183,89.5115510004619,47923.124540604214,0.0,0.8530411720275879,2.7373735904693604,3.6322898864746094,5.845149993896484,1195048,898,1.2489114366381395,1.220422503803814,1.256492091467608,1.1579021618391274
europe,t2m_snap_bilinear_baseline_wd_crps,42,eval_aurora_lead24h,Aurora +24h,24,True,t2m,baseline,crps,gaussian,t2m,7,0.8278419881650846,2.011112928390503,0.9385106563568115,1.2835980653762817,1.8184723854064941,0.2841586172580719,0.9809625142227442,1.2260712385177612,58.724837830781695,87.33783078169245,122653.42424404708,0.0,0.9092488288879395,2.8607282638549805,3.7702341079711914,5.966609954833984,1195048,898,1.3228264527359037,1.281615082648567,1.3106036024209853,1.2141249203680857
europe,t2m_snap_bilinear_baseline_wd_crps,42,eval_aurora_lead72h,Aurora +72h,72,True,t2m,baseline,crps,gaussian,t2m,7,0.8278419881650846,2.4726827144622803,1.123354434967041,1.509968876838684,2.0652406215667725,0.13029296696186066,0.9749838056921356,1.2219398021697998,50.01723780132681,80.1566129561323,285724.87139930774,0.0,1.1260316371917725,3.2929940223693848,4.23244571685791,6.469470500946045,1195048,898,1.5778590820789773,1.4899840225402103,1.5379744682672136,1.4253510601499793
europe,t2m_snap_bilinear_baseline_wd_crps,456,eval_era5,ERA5,0,True,t2m,baseline,crps,gaussian,t2m,8,0.8292650604084747,1.8702316284179688,0.861221969127655,1.1812989711761475,1.712038516998291,-0.014914780855178833,0.982712913108483,1.1631579399108887,60.71320984596434,88.83191302776123,54395.618331648606,0.0,0.8083250522613525,2.667904853820801,3.5594112873077393,5.851705551147461,1195048,898,1.2040853800652331,1.1710161810261481,1.2182628494222394,1.1292284982236287
europe,t2m_snap_bilinear_baseline_wd_crps,456,eval_aurora_lead6h,Aurora +6h,6,True,t2m,baseline,crps,gaussian,t2m,8,0.8292650604084747,1.947360634803772,0.8974077701568604,1.2293846607208252,1.7576590776443481,-0.04402604699134827,0.9817799719248741,1.1632466316223145,58.20828954150795,87.4326386889899,92007.71649004893,0.0,0.8595280647277832,2.7513184547424316,3.643207550048828,5.899214744567871,1195048,898,1.243271765153051,1.2173588720782924,1.2784341018304086,1.1772621571062225
