target,model,train_loss,europe / ERA5,europe / Aurora +6h,europe / Aurora +24h,europe / Aurora +72h,east_asia / ERA5,east_asia / Aurora +6h,east_asia / Aurora +24h,east_asia / Aurora +72h
t2m,baseline,nll,1.174±0.010,1.219±0.009,1.277±0.011,1.509±0.007,1.340±0.023,1.376±0.017,1.443±0.011,1.623±0.024
t2m,baseline,crps,1.183±0.005,1.228±0.006,1.284±0.004,1.520±0.009,1.374±0.055,1.398±0.039,1.451±0.025,1.618±0.007
t2m,tessera,nll,1.111±0.011,1.156±0.012,1.214±0.012,1.465±0.013,1.106±0.006,1.136±0.011,1.210±0.016,1.409±0.026
t2m,tessera,crps,1.087±0.000,1.130±0.002,1.193±0.001,1.445±0.006,1.101±0.006,1.131±0.004,1.201±0.005,1.404±0.015
wind,baseline,nll,1.296±0.023,1.288±0.023,1.301±0.023,1.381±0.018,1.264±0.004,1.264±0.002,1.274±0.005,1.310±0.014
wind,baseline,crps,1.282±0.003,1.274±0.003,1.287±0.003,1.367±0.003,1.243±0.003,1.244±0.001,1.253±0.003,1.289±0.010
wind,tessera,nll,1.222±0.007,1.207±0.005,1.222±0.005,1.313±0.006,1.158±0.020,1.155±0.019,1.170±0.019,1.221±0.021
wind,tessera,crps,1.196±0.014,1.185±0.011,1.200±0.010,1.296±0.011,1.172±0.012,1.167±0.012,1.182±0.013,1.234±0.013
