target,model,train_loss,europe / ERA5,europe / Aurora +6h,europe / Aurora +24h,europe / Aurora +72h,east_asia / ERA5,east_asia / Aurora +6h,east_asia / Aurora +24h,east_asia / Aurora +72h
t2m,baseline,nll,0.846±0.007,0.878±0.006,0.923±0.007,1.106±0.006,0.965±0.018,0.991±0.013,1.041±0.008,1.183±0.016
t2m,baseline,crps,0.859±0.002,0.892±0.005,0.937±0.004,1.129±0.015,1.006±0.039,1.022±0.027,1.064±0.016,1.194±0.014
t2m,tessera,nll,0.799±0.007,0.829±0.009,0.874±0.009,1.073±0.008,0.795±0.002,0.815±0.007,0.870±0.010,1.024±0.021
t2m,tessera,crps,0.786±0.002,0.818±0.003,0.869±0.003,1.076±0.008,0.798±0.002,0.820±0.002,0.875±0.006,1.039±0.015
wind,baseline,nll,0.922±0.013,0.918±0.013,0.926±0.012,0.986±0.008,0.902±0.012,0.903±0.014,0.910±0.012,0.936±0.005
wind,baseline,crps,0.920±0.008,0.917±0.008,0.925±0.008,0.987±0.011,0.897±0.003,0.898±0.004,0.905±0.004,0.933±0.007
wind,tessera,nll,0.862±0.001,0.855±0.003,0.865±0.002,0.932±0.001,0.815±0.007,0.814±0.006,0.825±0.006,0.863±0.007
wind,tessera,crps,0.853±0.003,0.848±0.000,0.859±0.001,0.932±0.002,0.823±0.004,0.820±0.004,0.831±0.004,0.870±0.004
