target,region,variant,eval_label,cov68,cov68_std,cov95,ssr,ssr_std,ce_tv,ce_rmsce,crps
t2m,east_asia,baseline,ERA5 (lead 0),64.97467226472502,5.121428707285061,92.23256025539133,0.8731410087173189,0.0949400229197579,0.08127152456107958,0.04351237566907932,0.9664454857508341
t2m,east_asia,baseline,Lead +6h,63.84328647769206,4.9278582468080305,91.87639315923691,0.8669262076048735,0.09348914364587284,0.09511855734932473,0.056670297258285734,0.9934332768122355
t2m,east_asia,baseline,Lead +24h,63.41674226186175,4.627236055428826,91.69202116130275,0.8699320735956321,0.09032778054902427,0.10215185402233336,0.06165699580671402,1.0398921569188435
t2m,east_asia,baseline,Lead +72h,63.22648320448701,3.9063792381496607,91.63930521994855,0.8901912257578896,0.08185103623219878,0.11304197740974738,0.07558646499710193,1.1603928407033284
t2m,east_asia,concat,ERA5 (lead 0),68.7750367272231,1.0259312905307654,94.21248538269901,0.9184778402857453,0.02661716260903724,0.04059943644785536,0.025255373623880948,0.7938671708106995
t2m,east_asia,concat,Lead +6h,68.13789633958699,1.0127879083904707,94.20659832325843,0.9187720791435644,0.023713389066945985,0.04422104837824892,0.029053671021379113,0.8095872600873312
t2m,east_asia,concat,Lead +24h,67.5007559519509,1.0078341332978908,93.858726629043,0.9151267037047083,0.0206744554925819,0.05148286999499602,0.031309048294716126,0.8549637595812479
t2m,east_asia,concat,Lead +72h,66.9388093689875,1.514296899773578,93.75008362300342,0.927949372154813,0.02211117042224443,0.0721294564370981,0.04910194920005129,0.9720926086107889
t2m,europe,baseline,ERA5 (lead 0),69.7086923147299,1.1537306859136323,94.57918566171959,0.9646701402374829,0.028099729764915177,0.0750922138692337,0.049603206759022335,0.854370653629303
t2m,europe,baseline,Lead +6h,68.05483963824047,1.11621234720552,94.13811551223604,0.9504893901525554,0.025098125152301795,0.08565296121996774,0.05847267192558366,0.8876912196477255
t2m,europe,baseline,Lead +24h,68.8937459694785,1.1028122676163603,94.36282057289749,0.9598996902524144,0.025801698031251402,0.05817389761750155,0.03491892850788507,0.913533349831899
t2m,europe,baseline,Lead +72h,67.51318775480148,1.3048036253482183,93.79556302340994,0.9483047181026731,0.020365669875123053,0.07447293609405926,0.04843404262936287,1.069770097732544
t2m,europe,concat,ERA5 (lead 0),71.41278007243224,0.9909820541348894,95.07855193543132,0.9820021891423071,0.024534314991695852,0.052045440852585,0.02377487536339261,0.799791177113851
t2m,europe,concat,Lead +6h,69.77680673356495,1.0101094775617223,94.71772960862938,0.9651911807027466,0.023981009327843833,0.05638864157199822,0.035042234053627025,0.8262854814529419
t2m,europe,concat,Lead +24h,70.20716601620465,0.9216498754289256,94.8496071566442,0.9761141629608513,0.022032135014419477,0.04694645459150316,0.02369857645306943,0.8588695526123047
t2m,europe,concat,Lead +72h,69.41138208116605,0.6605117413183567,94.52083375172657,0.9750078273464896,0.016355468621896997,0.05988741316945706,0.037840769527461814,1.0115430355072021
wind,east_asia,baseline,ERA5 (lead 0),71.5560520577157,0.09594036618927387,93.72880266182308,0.9242098376655697,0.008342156666456256,0.07229544736094813,0.02379765288752402,0.9008640050888062
