region,config,seed,eval_source,eval_label,lead_hours,present,target,variant,head,is_tessera,variable,checkpoint_epoch,best_val_loss,nll,crps,mae,rmse,bias,correlation,mean_pred_std,within_1sigma,within_2sigma,pit_chi2_stat,pit_chi2_pvalue,p50,p90,p95,p99,n_predictions,n_test_stations,seasonal_mae_DJF,seasonal_mae_MAM,seasonal_mae_JJA,seasonal_mae_SON
europe,t2m_xlead_snap_bilinear_baseline_wd,456,eval_lead72h,Lead +72h,72,True,t2m,baseline,gaussian,False,t2m,6,1.8735088540266638,2.033512830734253,1.0694688558578491,1.4973340034484863,2.020282030105591,-0.31109288334846497,0.9764624183594132,1.8527590036392212,68.61264150059245,94.44231528775413,45045.76707881189,0.0,1.1399428844451904,3.2277987003326416,4.107093811035156,6.214126110076904,1195048,898,1.5643648843017515,1.42823876451512,1.5828926524093698,1.4071231770417034
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,123,eval_lead0h,ERA5 (lead 0),0,True,wind,baseline,truncated_normal,False,wind,2,1.7907173634391942,1.7566606998443604,0.924243152141571,1.2893236875534058,1.9043147563934326,-0.24435485899448395,0.7326862224945704,2.1590216159820557,79.64641311767454,96.6603257586894,17718.553634038886,0.0,0.8783055543899536,2.791255235671997,3.858978271484375,7.31111478805542,687073,550,1.4360293513798312,1.2747489312696105,1.1587866347004139,1.2471462026198739
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,123,eval_lead6h,Lead +6h,6,True,wind,baseline,truncated_normal,False,wind,2,1.7907173634391942,1.754818081855774,0.9228489995002747,1.2873996496200562,1.902116060256958,-0.26899388432502747,0.7348786239762173,2.166965961456299,79.93168120418063,96.734844769042,21060.61586032343,0.0,0.8740663528442383,2.796761989593506,3.865328073501587,7.313552379608154,687073,550,1.434457165380959,1.2712308535383399,1.1517844863697768,1.24112945680831
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,123,eval_lead24h,Lead +24h,24,True,wind,baseline,truncated_normal,False,wind,2,1.7907173634391942,1.7620409727096558,0.934026837348938,1.2972142696380615,1.9108386039733887,-0.2524525821208954,0.7306136018662169,2.213833808898926,80.44443603518113,96.90644225577195,20089.920985106386,0.0,0.8828978538513184,2.8210506439208984,3.8847460746765137,7.30715799331665,687073,550,1.4482179139851292,1.282039247069741,1.1618755295991956,1.2504439388146849
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,123,eval_lead72h,Lead +72h,72,True,wind,baseline,truncated_normal,False,wind,2,1.7907173634391942,1.822959303855896,0.9835734367370605,1.3706659078598022,2.007209539413452,-0.22519220411777496,0.6925307754318661,2.36350679397583,80.8656430976039,96.7870954032541,18153.12728196276,0.0,0.9346296787261963,2.9943485260009766,4.109767436981201,7.567347049713135,687073,550,1.5473328386192442,1.354948536034683,1.2121384571627751,1.328146076108099
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,42,eval_lead0h,ERA5 (lead 0),0,True,wind,baseline,truncated_normal,False,wind,2,1.7986080788586238,1.7614874839782715,0.9359908103942871,1.2939980030059814,1.9119254350662231,-0.26085856556892395,0.729344662034414,2.0893819332122803,78.48685656400411,96.33226745920739,19538.71463585383,0.0,0.8803279399871826,2.806602716445923,3.8710813522338867,7.329343795776367,687073,550,1.4377814305650054,1.2695590206807004,1.1564326803295697,1.2465504136871672
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,42,eval_lead6h,Lead +6h,6,True,wind,baseline,truncated_normal,False,wind,2,1.7986080788586238,1.7593580484390259,0.9261385798454285,1.2918832302093506,1.9096782207489014,-0.290433794260025,0.7318211685415126,2.093625545501709,78.73384633073923,96.40649537967582,23895.455360638538,0.0,0.8737354278564453,2.8056421279907227,3.8828554153442383,7.348785877227783,687073,550,1.4357401657738886,1.2641737321214432,1.1482762960277568,1.2406428571704577
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,42,eval_lead24h,Lead +24h,24,True,wind,baseline,truncated_normal,False,wind,2,1.7986080788586238,1.765513300895691,0.9495235681533813,1.301443099975586,1.9180502891540527,-0.2733614444732666,0.7277661555832464,2.13529896736145,79.25227741448143,96.60414541104075,21753.362657243117,0.0,0.8839383125305176,2.83073091506958,3.8968145847320557,7.328165054321289,687073,550,1.448529968384616,1.27490062763141,1.1585028988733521,1.2489956350778042
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,42,eval_lead72h,Lead +72h,72,True,wind,baseline,truncated_normal,False,wind,2,1.7986080788586238,1.8247662782669067,0.9850949048995972,1.373639464378357,2.0123443603515625,-0.24366265535354614,0.6910164296264097,2.2826313972473145,79.83896907606616,96.55276804648123,18743.194567389488,0.0,0.9336644411087036,3.004955291748047,4.124145984649658,7.6010541915893555,687073,550,1.5454149856334274,1.347261224320763,1.2064335688821042,1.325141083797959
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,456,eval_lead0h,ERA5 (lead 0),0,True,wind,baseline,truncated_normal,False,wind,2,1.7987820373006063,1.7631136178970337,0.924857497215271,1.2840385437011719,1.8925553560256958,-0.18536490201950073,0.7326664760970072,2.037184476852417,77.63585528757497,95.96855064891213,11361.424770002604,0.0,0.8849363327026367,2.7763330936431885,3.800414562225342,7.141727924346924,687073,550,1.4330483069168802,1.2692411562299062,1.158653221221274,1.246914268821821
