target,variant,europe / ERA5 (lead 0),europe / Lead +6h,europe / Lead +24h,europe / Lead +72h,east_asia / ERA5 (lead 0),east_asia / Lead +6h,east_asia / Lead +24h,east_asia / Lead +72h
t2m,baseline,1.687±0.003,1.732±0.001,1.773±0.005,2.022±0.013,1.841±0.034,1.879±0.034,1.954±0.035,2.156±0.033
t2m,concat,1.593±0.002,1.629±0.004,1.679±0.004,1.928±0.010,1.530±0.007,1.550±0.006,1.624±0.008,1.815±0.009
wind,baseline,1.903±0.010,1.900±0.010,1.909±0.010,2.005±0.009,1.725±0.012,1.728±0.012,1.739±0.011,1.790±0.008
wind,concat,1.742±0.014,1.726±0.011,1.741±0.011,1.867±0.011,1.620±0.004,1.620±0.005,1.637±0.005,1.702±0.003
