target,variant,europe / ERA5 (lead 0),europe / Lead +6h,europe / Lead +24h,europe / Lead +72h,east_asia / ERA5 (lead 0),east_asia / Lead +6h,east_asia / Lead +24h,east_asia / Lead +72h
t2m,baseline,1.192±0.002,1.241±0.004,1.276±0.005,1.496±0.019,1.337±0.040,1.377±0.038,1.443±0.036,1.613±0.033
t2m,concat,1.113±0.001,1.153±0.003,1.199±0.003,1.415±0.008,1.097±0.004,1.119±0.005,1.182±0.006,1.344±0.007
wind,baseline,1.289±0.005,1.287±0.006,1.297±0.005,1.370±0.004,1.248±0.009,1.249±0.009,1.258±0.008,1.294±0.006
wind,concat,1.193±0.005,1.180±0.003,1.193±0.002,1.283±0.003,1.164±0.012,1.162±0.013,1.175±0.013,1.221±0.012
