var,region,method,rmse_mean,rmse_std,ssr_mean,ssr_std,cov68_mean,cov68_std,ce_tv_mean,ce_tv_std,cv_sigma_mean,cv_sigma_std,spearman_sig_err_mean,spearman_sig_err_std,resolution_gap_mean,resolution_gap_std,calib_gap_mean,calib_gap_std,nll_model_mean,nll_model_std
t2m,Australia,ERA5 interp (const σ),2.057324235678872,0.0,0.9646275071964854,0.0,78.04525758305248,0.0,0.1625662012518055,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0013286617822836355,0.0,2.141673418748515,0.0
t2m,Australia,ConvCNP (no TESSERA),2.1635268879537097,0.03625106249681871,0.818183379295142,0.03453399382948744,64.36634034130422,2.8765559745322857,0.12205370994489917,0.023361852333382133,0.24669434400546178,0.18117910352896802,0.1519404158468675,0.15510996483048164,0.03686936913766529,0.028346202731428738,0.07152719653047453,0.03442752361642114,2.225242609373503,0.05637709148891255
t2m,Australia,ConvCNP + TESSERA,1.965266004343509,0.021547692936184686,0.917976514706556,0.06796343263778369,70.32579040282458,2.2512394549823087,0.11575723532873268,0.006010985413879429,0.40645411000983067,0.009316962884612968,0.24555825815701163,0.04717266789938397,0.06857522351514318,0.02153250163925432,0.03832868286810095,0.03038830093885628,2.0642795291114395,0.0609675974116604
t2m,East Asia,ERA5 interp (const σ),1.9250218726138015,0.0,0.995681026487569,0.0,77.24036060915009,0.0,0.12207486734046741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8788592847318597e-05,0.0,2.073894651869496,0.0
t2m,East Asia,ConvCNP (no TESSERA),1.8666426858064156,0.02043511429317549,0.8805525272491708,0.08643501634036792,65.47828344050457,3.075755035869838,0.11049368345281387,0.05466890825087237,0.35156914953849067,0.01433812012392236,0.2539714838022732,0.04573693522894686,0.04199931779393573,0.029783525463659054,0.057138446103893514,0.06569471194176257,2.058179277555468,0.10120065489238284
t2m,East Asia,ConvCNP + TESSERA,1.5404582582703485,0.0071256232724217295,0.9393816161707077,0.031509889587905814,69.52590439950656,0.711222741361715,0.035060382498307466,0.016070433119200134,0.3198126750426357,0.02389696429600598,0.2781320839081754,0.009943417876024528,0.06431771687435302,0.0005710007262674708,0.009067074065254163,0.004512034319886234,1.7957606921001137,0.00901450623281737
t2m,Europe,ERA5 interp (const σ),2.3041708173937683,0.0,0.9999216840532399,0.0,78.16824094094966,0.0,0.1503352166607534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13418826844736e-09,0.0,2.2536594189181325,0.0
t2m,Europe,ConvCNP (no TESSERA),1.6726785794113201,0.006789292615160716,0.9490846525925442,0.049777954808224154,69.74874649386469,2.1071427057283967,0.04504789765766731,0.013311537393375041,0.44814118705885764,0.010648127357587743,0.4022753902365443,0.0029373276707169798,0.17365257969848616,0.003092429446420266,0.005496951308276025,0.004721063150000616,1.7652036947173781,0.0046029401670112016
t2m,Europe,ConvCNP + TESSERA,1.5902955478761784,0.014820461505579972,0.9855236394152707,0.007165592173880191,71.20249563197461,0.7313140171363279,0.05040913279912884,0.004732559259050293,0.46077920268589173,0.016209658984390574,0.41940396611139413,0.003433421298035943,0.1857657846541827,0.0038466339582150667,0.0006175544358049864,0.0006204259315605834,1.697681158219247,0.011798492869315268
t2m,S. Africa,ERA5 interp (const σ),2.6148507639159506,0.0,0.9965568187154,0.0,79.73829867268526,0.0,0.1547906926755871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1923849340789161e-05,0.0,2.3801574836941857,0.0
